gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,num_services,Segment,Segment_Name,Assigned_Intervention,CLV,Churn_Probability,High_Risk,Intervention_Cost,intervention_cost,baseline_loss,prevented_loss,net_benefit
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0-1 year,1,0,Segment 0,discount_20,358.20000000000005,0.69477075,True,0,0.0,248.86688386201862,74.66006515860559,74.66006515860559
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,2-4 years,3,0,Segment 0,discount_20,683.4000000000001,0.3914396,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,0-1 year,3,0,Segment 0,discount_20,646.2,0.6550418,True,0,0.0,423.28802011013033,126.98640603303909,126.98640603303909
Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,2-4 years,3,0,Segment 0,discount_20,507.59999999999997,0.39572394,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0-1 year,1,3,At-Risk Newcomers,feature_tutorial,848.4000000000001,0.63198847,True,0,0.0,536.1790143728257,107.23580287456514,107.23580287456514
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,0-1 year,5,3,At-Risk Newcomers,feature_tutorial,1195.8000000000002,0.5515221,True,0,0.0,659.5100986361505,131.90201972723014,131.90201972723014
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,1-2 years,4,3,At-Risk Newcomers,feature_tutorial,1069.1999999999998,0.4352059,False,0,0.0,0.0,0.0,0.0
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,0-1 year,1,0,Segment 0,discount_20,357.0,0.46894112,False,0,0.0,0.0,0.0,0.0
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,2-4 years,6,3,At-Risk Newcomers,feature_tutorial,1257.6,0.41438895,False,0,0.0,0.0,0.0,0.0
Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,4+ years,3,0,Segment 0,discount_20,673.8,0.34790346,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,1-2 years,2,0,Segment 0,discount_20,599.4000000000001,0.44859153,False,0,0.0,0.0,0.0,0.0
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,1-2 years,1,2,Budget Conscious,discount_10,227.39999999999998,0.39087132,False,0,0.0,0.0,0.0,0.0
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,4+ years,5,1,Loyal Champions,premium_support,1204.1999999999998,0.3805836,False,0,0.0,0.0,0.0,0.0
